id_distribuidor,id_red,id_operacion,perdida_cosecha,dependientes,tiempo_vivienda,ingreso_neto,tipo_negocio,tiempo_op_negocio,edad,folio,creditos_con_claves_prevencion,creditos_completados_con_atraso,saldo_vencido_total,pagos_vencidos,creditos_totales,estado_distrito_federal,estado_jalisco,estado_mexico,estado_tabasco,estado_veracruz_de_ignacio_de_la_llave,sucursal_cardenas,sucursal_chalco,sucursal_chimalhuacan_2,sucursal_coatzacoalcos,sucursal_fortin,sucursal_ixtapaluca,sucursal_ixtapaluca_2,sucursal_nezahualcoyotl_2,sucursal_orizaba,sucursal_texcoco,sucursal_tonala,sucursal_tonala_2,sucursal_villahermosa,escolaridad_bachillerato,escolaridad_licenciatura,escolaridad_otro,escolaridad_primaria,escolaridad_secundaria,escolaridad_sin_estudios,escolaridad_tecnico,estado_civil_casada,estado_civil_divorciada,estado_civil_separada,estado_civil_soltera,estado_civil_union_libre,estado_civil_viuda,tipo_vivienda_familiar,tipo_vivienda_otro,tipo_vivienda_propia,tipo_vivienda_rentada,sexo_femenino,sexo_masculino,experiencia_no,experiencia_si,tipo_prestamo,target,probabilidad,target_predicted,grupo_riesgo,capital_pagado,capital_pendiente,capital,perdida_cosecha_estimada
101642,140828,140836,0.0,-0.7812465152139179,0.1622659390563559,0.0606906749306443,0.1622659390563559,1.2303914571295782,1.6379083514652053,1063538773,0.6271186440677966,0.0338983050847457,-0.0599724620430444,-0.6291802861899803,0.3134002527213441,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.282140991026532,1.0,1,281000.02,0.0,281000.02,0.014364894417930874
101642,149876,149882,0.0,-0.7812465152139179,0.1622659390563559,0.0606906749306443,0.1622659390563559,1.2303914571295782,1.6379083514652053,1063538773,0.6271186440677966,0.0338983050847457,-0.0599724620430444,-0.6291802861899803,0.3134002527213441,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,prestamo_personal_red,1,0.282140991026532,1.0,1,283999.97,0.0,283999.97,0.014364894417930874
101656,102583,102584,0.5743786666666667,0.1446752805951699,0.6635626984006062,-0.0438121777321514,0.6635626984006062,0.781184332108851,1.874208331165956,1063539045,0.7142857142857143,0.4285714285714285,0.3505706225839471,-0.0025721875653419,-0.7712684937554853,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,prestamo_personal_red,0,0.7374958746932312,0.0,9,12768.64,17231.36,30000.0,0.11672151515956353
101657,102391,102398,0.0,0.1446752805951699,-0.3390308202878944,-0.03431191839917,-0.3390308202878944,1.2303914571295782,-0.8038581054425451,1063538769,0.4615384615384615,0.2307692307692307,-0.3559920635423056,-0.8529688928416368,-0.6461144076235434,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.4389048068771635,1.0,4,239000.04,0.0,239000.04,0.02889684065271636
101657,110964,110971,0.0,0.1446752805951699,-0.3390308202878944,-0.03431191839917,-0.3390308202878944,1.2303914571295782,-0.8038581054425451,1063538769,0.4615384615384615,0.2307692307692307,-0.3559920635423056,-0.8529688928416368,-0.6461144076235434,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.4389048068771635,1.0,4,309000.06,0.0,309000.06,0.02889684065271636
101657,120520,120527,0.0,0.1446752805951699,-0.3390308202878944,-0.03431191839917,-0.3390308202878944,1.2303914571295782,-0.8038581054425451,1063538769,0.4615384615384615,0.2307692307692307,-0.3559920635423056,-0.8529688928416368,-0.6461144076235434,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.4389048068771635,1.0,4,280000.05,0.0,280000.05,0.02889684065271636
101657,131704,131711,0.0,0.1446752805951699,-0.3390308202878944,-0.03431191839917,-0.3390308202878944,1.2303914571295782,-0.8038581054425451,1063538769,0.4615384615384615,0.2307692307692307,-0.3559920635423056,-0.8529688928416368,-0.6461144076235434,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.4389048068771635,1.0,4,259000.05,0.0,259000.05,0.02889684065271636
101665,102391,102397,0.0,-0.7812465152139179,-0.3390308202878944,-0.0267117109327849,-0.3390308202878944,-0.5664370429533305,1.3228417118642053,1063538762,0.5135135135135135,0.1351351351351351,1.0708240768491248,0.1764586977559832,-0.145498063095776,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.33144604305852066,1.0,2,239000.04,0.0,239000.04,0.02586073969105862
101665,110964,110970,0.0,-0.7812465152139179,-0.3390308202878944,-0.0267117109327849,-0.3390308202878944,-0.5664370429533305,1.3228417118642053,1063538762,0.5135135135135135,0.1351351351351351,1.0708240768491248,0.1764586977559832,-0.145498063095776,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.33144604305852066,1.0,2,309000.06,0.0,309000.06,0.02586073969105862
101665,120520,120526,0.0,-0.7812465152139179,-0.3390308202878944,-0.0267117109327849,-0.3390308202878944,-0.5664370429533305,1.3228417118642053,1063538762,0.5135135135135135,0.1351351351351351,1.0708240768491248,0.1764586977559832,-0.145498063095776,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,prestamo_personal_red,1,0.33144604305852066,1.0,2,280000.05,0.0,280000.05,0.02586073969105862
