id_distribuidor,folio,saldo_vencido_total,pagos_vencidos,creditos_totales,creditos_con_claves_prevencion,creditos_completados_con_atraso,creditos_completados_sin_atraso
102442,1063539121,3087.0,27.0,17,16,1,16
102461,1063539733,20273.0,54.0,14,10,5,9
102466,1063539701,40176.0,64.0,26,7,4,22
102467,1063539696,83361.0,108.0,12,9,6,6
102469,1063539673,60.0,2.0,12,8,1,11
102478,1063539670,19407.0,101.0,19,16,2,17
102479,1063539691,55494.0,66.0,32,15,5,27
102485,1063539304,22686.0,85.0,20,14,6,14
102488,1063539690,61202.0,104.0,98,57,9,89
102490,1063539682,91870.0,445.0,76,31,16,60
102495,1063539680,51212.0,36.0,54,36,3,51
102497,1063539675,110986.0,210.0,61,49,6,55
102521,1063539162,3132.0,9.0,46,28,1,45
102582,1063539334,40606.0,262.0,78,41,7,71
102602,1063539100,45531.0,51.0,15,2,2,13
102603,1063539303,27739.0,35.0,15,10,2,13
102615,1063539274,10362.0,99.0,25,15,4,21
102621,1063539638,148189.0,105.0,47,29,7,40
102635,1063539118,43853.0,47.0,53,38,2,51
102691,1063539652,6283.0,73.0,9,3,3,6
102692,1063539646,25224.0,77.0,57,22,5,52
102714,1063539473,24232.0,36.0,112,93,4,108
102718,1063540092,0.0,7.0,6,0,0,6
102725,1063539592,56925.0,155.0,59,44,10,49
102727,1063539927,19140.0,22.0,18,10,2,16
102733,1063539587,1230.0,23.0,15,13,1,14
102735,1063539582,5118.0,75.0,111,83,5,106
102739,1063539572,8242.0,21.0,38,22,1,37
102741,1063539562,25070.0,65.0,18,7,4,14
102745,1063539560,8724.0,33.0,27,15,3,24
102770,1063539551,7534.0,18.0,34,9,2,32
102774,1063539548,0.0,9.0,9,2,0,9
102775,1063539466,503.0,28.0,82,54,1,81
102776,1063539454,1507.0,27.0,21,8,1,20
102779,1063539449,21174.0,148.0,81,15,7,74
102782,1063543587,24546.0,35.0,35,18,4,31
102784,1063539542,80759.0,258.0,104,56,12,92
102785,1063539724,46131.0,79.0,15,7,4,11
102786,1063539444,16185.0,173.0,63,32,5,58
102788,1063539914,29336.0,20.0,12,2,1,11
102791,1063539377,0.0,0.0,7,3,0,7
102792,1063539374,0.0,7.0,314,43,0,314
102793,1063539369,871.0,2.0,15,9,1,14
102794,1063539366,241810.0,223.0,90,35,16,74
102822,1063539540,39.0,81.0,70,50,1,69
102832,1063539428,32238.0,139.0,26,17,4,22
102834,1063539713,6426.0,27.0,33,15,2,31
102835,1063539421,25444.0,59.0,27,17,5,22
102865,1063539363,12962.0,16.0,31,12,6,25
102881,1063539642,38392.0,112.0,56,35,12,44
102882,1063539437,29268.0,107.0,52,38,7,45
102888,1063539639,4044.0,21.0,8,3,1,7
102896,1063539783,74631.0,235.0,71,43,12,59
102897,1063539386,796.0,39.0,84,49,2,82
102901,1063539611,4478.0,23.0,54,21,2,52
102927,1063539524,1060.0,43.0,13,7,2,11
102935,1063539522,39798.0,172.0,10,5,5,5
102937,1063539515,917.0,107.0,5,3,1,4
102961,1063539536,25744.0,88.0,55,24,4,51
102972,1063539407,0.0,2.0,9,6,0,9
102973,1063539965,13547.0,104.0,50,32,4,46
102976,1063539393,17043.0,59.0,14,6,3,11
102977,1063539605,3520.0,13.0,36,23,1,35
102979,1063540075,8929.0,20.0,10,5,3,7
102982,1063539389,846.0,22.0,12,8,1,11
102986,1063539771,45982.0,51.0,41,31,6,35
103061,1063540022,7126.0,32.0,12,8,3,9
103068,1063540015,40865.0,130.0,45,34,7,38
103107,1063539514,47309.0,61.0,21,12,5,16
103146,1063539765,123130.0,224.0,82,27,7,75
103156,1063539757,0.0,0.0,11,9,0,11
103159,1063539752,75790.0,129.0,45,29,4,41
103220,1063539767,3503.0,7.0,3,2,1,2
103261,1063540763,59972.0,189.0,129,100,10,119
103298,1063539747,0.0,0.0,15,1,0,15
103314,1063539744,7731.0,49.0,18,15,3,15
103477,1063540001,5226.0,76.0,54,24,3,51
103486,1063542014,47278.0,42.0,28,15,5,23
103501,1063539992,0.0,0.0,4,1,0,4
103503,1063539981,6560.0,16.0,23,6,1,22
103505,1063539974,4110.0,103.0,22,15,1,21
103517,1063539812,4927.0,100.0,13,2,5,8
103543,1063539911,49421.0,172.0,33,20,6,27
103576,1063539856,0.0,2.0,50,11,0,50
103581,1063539849,33160.0,25.0,8,5,1,7
103616,1063539800,0.0,18.0,4,2,0,4
103668,1063539795,0.0,0.0,2,1,0,2
103697,1063539839,19655.0,278.0,69,37,5,64
103763,1063539864,119660.0,281.0,90,51,11,79
103766,1063540734,119516.0,169.0,61,39,10,51
103768,1063539861,11295.0,10.0,7,0,2,5
