id_distribuidor,id_red,id_operacion,tipo_prestamo,perdida_cosecha
100394,142629,142635,prestamo_personal_red,0.0
100394,153026,153032,prestamo_personal_red,0.0
100423,101353,101356,prestamo_personal_red,0.0
100423,110696,110698,prestamo_personal_red,0.0
100423,120774,120776,prestamo_personal_red,0.0
100423,132354,132356,prestamo_personal_red,0.0
100423,142665,142667,prestamo_personal_red,0.0
100423,153870,153872,prestamo_personal_red,0.0
100436,101353,101361,prestamo_personal_red,0.0
100436,110696,110700,prestamo_personal_red,0.0
100436,120774,120778,prestamo_personal_red,0.0
100436,132354,132358,prestamo_personal_red,0.0
100436,142665,142669,prestamo_personal_red,0.0
100436,153870,153874,prestamo_personal_red,0.0
100437,104790,104802,prestamo_personal_red,0.0
100437,114381,114387,prestamo_personal_red,0.1126528239455979
100440,101822,101826,prestamo_personal_red,0.0
100440,110789,110792,prestamo_personal_red,0.5643759677419355
100444,101238,101244,prestamo_personal_red,0.4047459375
100445,101353,101359,prestamo_personal_red,0.0
100445,110696,110699,prestamo_personal_red,0.0
100445,120774,120777,prestamo_personal_red,0.0
100445,132354,132357,prestamo_personal_red,0.0
100445,142665,142668,prestamo_personal_red,0.0
100445,153870,153873,prestamo_personal_red,0.0
100464,101353,101354,prestamo_personal_red,0.0
100464,110696,110697,prestamo_personal_red,0.0
100464,120774,120775,prestamo_personal_red,0.0
100464,132354,132355,prestamo_personal_red,0.0
100464,142665,142666,prestamo_personal_red,0.0
100464,153870,153871,prestamo_personal_red,0.0
100471,110574,110575,prestamo_personal_red,0.0
100471,118760,118761,prestamo_personal_red,0.0
100471,129615,129616,prestamo_personal_red,0.0
100471,137792,137793,prestamo_personal_red,0.6717680562683332
100474,100847,100855,prestamo_personal_red,0.0
100474,110728,110735,prestamo_personal_red,0.0
100474,131316,131321,prestamo_personal_red,0.0
100474,141491,141496,prestamo_personal_red,0.0
100474,151294,151299,prestamo_personal_red,0.0
100481,102273,102275,prestamo_personal_red,0.0
100481,112014,112016,prestamo_personal_red,0.0
100481,122364,122366,prestamo_personal_red,0.0
100481,133770,133772,prestamo_personal_red,0.0
100481,143088,143090,prestamo_personal_red,0.0
100481,154451,154453,prestamo_personal_red,0.0
100482,102313,102316,prestamo_personal_red,0.0
100483,102273,102282,prestamo_personal_red,0.0
100483,112014,112022,prestamo_personal_red,0.0
100483,122364,122370,prestamo_personal_red,0.0
100483,133770,133775,prestamo_personal_red,0.0
100483,143088,143093,prestamo_personal_red,0.0
100483,154451,154456,prestamo_personal_red,0.0
100485,100847,100852,prestamo_personal_red,0.0
100487,102273,102280,prestamo_personal_red,0.0
100487,112014,112020,prestamo_personal_red,0.0
100487,122364,122369,prestamo_personal_red,0.0
100487,133770,133774,prestamo_personal_red,0.0
100487,143088,143092,prestamo_personal_red,0.0
100487,154451,154455,prestamo_personal_red,0.0
100488,104270,104274,prestamo_personal_red,0.0
100488,114063,114067,prestamo_personal_red,0.0
100488,125297,125301,prestamo_personal_red,0.0
100488,135046,135048,prestamo_personal_red,0.0
100488,144640,144642,prestamo_personal_red,0.0
100510,101055,101064,prestamo_personal_red,0.0940329411764705
100511,102273,102279,prestamo_personal_red,0.0
100511,112014,112019,prestamo_personal_red,0.0
100513,102273,102278,prestamo_personal_red,0.0
100514,102273,102277,prestamo_personal_red,0.0
100514,112014,112017,prestamo_personal_red,0.0
100514,122364,122367,prestamo_personal_red,0.0
100514,133770,133773,prestamo_personal_red,0.0
100514,143088,143091,prestamo_personal_red,0.0
100514,154451,154454,prestamo_personal_red,0.0
100520,102273,102281,prestamo_personal_red,0.0
100520,133770,133896,prestamo_personal_red,0.0
100520,143088,143094,prestamo_personal_red,0.0
100534,100993,101000,prestamo_personal_red,0.0
100534,111061,111068,prestamo_personal_red,0.0
100541,100993,101001,prestamo_personal_red,0.0
100541,111061,111069,prestamo_personal_red,0.0
100541,121234,121241,prestamo_personal_red,0.0
100541,133357,133362,prestamo_personal_red,0.0
100541,142110,142114,prestamo_personal_red,0.0
100541,151995,151997,prestamo_personal_red,0.0
100542,104270,104273,prestamo_personal_red,0.0
100542,114063,114066,prestamo_personal_red,0.0
100542,125297,125300,prestamo_personal_red,0.0
100542,135046,135047,prestamo_personal_red,0.0
100542,144640,144641,prestamo_personal_red,0.0
100543,101353,101362,prestamo_personal_red,0.0
