id_distribuidor,estado,sucursal,escolaridad,estado_civil,tipo_vivienda,sexo,experiencia,dependientes,tiempo_vivienda,ingreso_neto,tipo_negocio,tiempo_op_negocio,edad
100055,mexico,chalco,tecnico,soltera,rentada,femenino,no,-0.7812465152139179,-0.33903082028789444,-0.05616251486502737,-0.33903082028789444,-0.11722991793260336,-1.1976914049437952
100025,mexico,texcoco,bachillerato,union_libre,familiar,femenino,no,0.14467528059516999,-0.33903082028789444,-0.0451422140387689,-0.33903082028789444,-1.0156441679740578,-0.33125814604104503
100394,mexico,texcoco,secundaria,union_libre,familiar,femenino,no,1.0705970764042578,2.6687497357776078,-0.05141238519853665,2.6687497357776078,0.3319772070881238,-0.5675581257417951
100270,mexico,texcoco,secundaria,viuda,familiar,femenino,no,-0.7812465152139179,0.1622659390563559,-0.06091264453151809,0.1622659390563559,-1.0156441679740578,1.7954416712657053
99145,mexico,chalco,secundaria,divorciada,familiar,femenino,no,1.0705970764042578,-0.8403275796321448,-0.06281269639811438,-0.8403275796321448,1.2303914571295782,-0.41002480594129503
99151,mexico,chalco,bachillerato,casada,rentada,masculino,no,1.0705970764042578,-0.8403275796321448,-0.007711192266822017,-0.8403275796321448,-0.5664370429533305,0.22010847326070507
99630,mexico,chalco,bachillerato,soltera,familiar,femenino,no,0.14467528059516999,2.6687497357776078,-0.06395272751807216,2.6687497357776078,2.1288057071710327,-1.5915247044450453
99854,mexico,chalco,tecnico,casada,familiar,femenino,no,1.0705970764042578,2.6687497357776078,-0.06509275863802992,2.6687497357776078,-1.0156441679740578,-0.4887914658415451
100030,mexico,chalco,tecnico,soltera,familiar,femenino,no,1.0705970764042578,-0.8403275796321448,-0.05939260303824106,-0.8403275796321448,1.2303914571295782,0.3776417930612051
98632,mexico,chalco,primaria,union_libre,familiar,femenino,no,1.0705970764042578,-0.8403275796321448,-0.04799229183866333,-0.8403275796321448,0.781184332108851,0.7714750925624552
98940,mexico,chalco,primaria,casada,propia,femenino,no,-0.7812465152139179,0.1622659390563559,-0.04286215179885335,0.1622659390563559,-1.0156441679740578,2.4255749504677055
99408,mexico,chalco,primaria,union_libre,familiar,femenino,no,0.14467528059516999,-0.33903082028789444,-0.04571222959874779,-0.33903082028789444,-0.11722991793260336,-1.5915247044450453
